tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
sj2d2	72445368860897	5	9024	9024	9062	2648	6413	baa11be50ca3777560e6ca9a75726680
sj2d2	72582807814369	3	9024	9024	8303	2462	5841	67d1edcf5af09b94d1ea27edea949cfc
sj2d2	72720246767841	2	9024	9024	6262	2491	3770	96a15e97e0edad5649d4408bcb731a32
sj2d2	72857685721313	4	9024	9024	7431	2319	5111	5692a11ba4ef5813ae4c15dae6759ffd
sj2d2	72995124674784	9	9024	9024	7715	2679	5035	442e1010aaf441beeaf2d122c34d4cbd
sj2d2	72995124674785	5	9024	9024	8185	3529	4655	fef9915f9855d18ecd79080f860867f3
sj2d2	73132563628257	14	9024	9024	6656	2202	4454	f0d5d73f31d9d5935bf1b04ba7f8ff54
sj2d2	73270002581729	7	9024	9024	7908	2476	5432	69f3d5299b8f98abfeb75d351aa5ad2b
sj2d2	73407441535201	4	9024	9024	7766	2471	5294	769101526eef5165a59a7067bd797333
sj2d2	73544880488673	3	9024	9024	6976	2158	4817	cbed1eff2908f7027ba94ab8197a9fed
sj2d2	73682319442145	10	9024	9024	7193	2313	4880	919de7ef68064aa889d72e74f3510569
sj2d2	73819758395617	5	9024	9024	8863	2336	6526	9a88bbe1f6bfb7f7fad59ba4146d7ddf
sj2d2	73957197349089	3	9024	9024	8929	3027	5902	1497feed128a1a4736aa5edd03b40afd
sj2d2	74094636302560	8	9024	9024	6944	2093	4850	839c591cd0b1342f51e4835bf7ff4a28
sj2d2	74094636302561	6	9024	9024	7753	2155	5598	7a9387dc8eba5e7cba277ae46cebdee5
sj2d2	74232075256033	3	9024	9024	8461	3105	5355	2f51daeb98a63c128e5024ac927f6dbe
sj2d2	74369514209505	10	9024	9024	8683	2483	6199	2df7a70f3c896780a908449c4d07600a
sj2d2	74506953162977	10	9024	9024	8334	2654	5679	9059fc912c2fd65943b90eae3f3d61b4
sj2d2	74644392116449	3	9024	9024	6810	1946	4863	2c4d038dc7c8a0a2b95c1c732ffd0649
sj2d2	74781831069921	6	9024	9024	7257	2125	5132	9399312bdf61d866ea9e34a812a368d7
sj2d2	74919270023393	7	9024	9024	7290	2270	5019	2cc940c319ba4b490448ed910ff6e435
sj2d2	75056708976865	8	9024	9024	7938	2759	5179	756bd4c5ea9df1edaa41d23a99dfd22f
sj2d2	75194147930336	6	9024	9024	8216	2464	5751	3b69bed83d44d4e45b52f061953d4bbf
sj2d2	75194147930337	6	9024	9024	8516	2076	6440	143d328827e291ec1da1089899926bda
sj2d2	75331586883809	5	9024	9024	7391	2275	5115	5aa6c862193a1bc19103906ee661106e
sj2d2	75469025837281	5	9024	9024	7671	2861	4809	c498e13bac18532ce1e04fc2890004ff
sj2d2	75606464790753	7	9024	9024	6645	2252	4392	ca98d692aa801a6fcc55253f77862f58
sj2d2	75743903744225	2	9024	9024	7262	2753	4508	68f26a8148aaffca3c18adf4862c09a3
sj2d2	75881342697697	5	9024	9024	10391	3175	7215	b6b123af0cf98d643748d5243e0c9ea0
sj2d2	76018781651169	6	9024	9024	6859	2574	4285	bd03342bdab5eba878138f13f45854dd
sj2d2	76156220604641	7	9024	9024	7339	2260	5079	35000744d25fc1cda06f63702369a866
sj2d2	76293659558112	4	9024	9024	7977	2455	5521	f5ad62386d000323f1fdb3b0fe72056b
sj2d2	76293659558113	11	9024	9024	8789	2727	6062	49b7e62f7ccd649813cd229608826600
sj2d2	76431098511585	6	9024	9024	7797	2526	5271	66dfe8c701b599531d0641c700bf5aa8
sj2d2	76568537465057	2	9024	9024	10356	3381	6974	ffa54170ed1a3374869f719487e3dbd0
sj2d2	76705976418529	5	9024	9024	8489	3330	5159	a472bdb572cdbb3c6284ef7fddb23284
sj2d2	76843415372001	5	9024	9024	9947	3076	6870	8d5c1f5271e18260b9c80d925dc7ae94
sj2d2	76980854325473	4	9024	9024	8401	2522	5878	12631fde0ef8440e35164910e488a88e
sj2d2	77118293278945	5	9024	9024	6477	2014	4462	d72f584a33f17edc9c47a9265a7d777f
sj2d2	77255732232417	3	9024	9024	8206	3230	4976	415f1abc6e2817714472d450b1fa3ddb
sj2d2	77393171185888	6	9024	9024	9054	2871	6182	fb879d6bc5530c09673da8ee67b55162
sj2d2	77393171185889	5	9024	9024	8214	2661	5552	a17dbf579c6902681cd791999e0d7b42
sj2d2	77530610139361	9	9024	9024	7431	1851	5579	a42a01170c2ecf42748126c985f237f5
sj2d2	77668049092833	5	9024	9024	7320	2315	5004	01d70e8c17d42a2264a3b9e4e2f4441a
sj2d2	77805488046305	5	9024	9024	7446	2088	5358	d25372c5c244c91c71a2499bf5569fbe
sj2d2	77942926999777	5	9024	9024	7918	2433	5484	e7220f5e160c89fd388a98a943158ea3
sj2d2	78080365953249	6	9024	9024	10129	3344	6785	317e85aadd50b28db48cf36180caa9f8
sj2d2	78217804906721	8	9024	9024	8295	2925	5369	947979661809f0a34301ae139409176e
sj2d2	78355243860193	8	9024	9024	9270	3456	5814	992bf1673dfeca08c25b60dd34a49cc7
sj2d2	78492682813664	9	9024	9024	7445	2503	4942	8af335a652c0f09321525b9b1040534f
sj2d2	78492682813665	6	9024	9024	6827	2239	4587	5a886ff3991aa7f3f9145cc511c6d8f8
sj2d2	78630121767137	3	9024	9024	8549	2350	6199	62a95f093f2d390d9219df056702fa82
sj2d2	78767560720609	3	9024	9024	8373	2237	6136	3ebfe11bdd9aad23c5f25ea55c03a7be
