tag	nonce	classical	n_shots	rung	ms	pair_ms	sim_ms	stream_fp
i259s0	75056708976865	16	9024	9024	4048	1450	2597	0e346c34a39dc1538638f772112e292c
i259s0	75194147930336	18	9024	9024	4545	1564	2980	b3a1a1f438899492ac098edb3fbc6ce5
i259s0	75194147930337	22	9024	9024	4232	1422	2810	d6adc89b692e07654f5a77e5c942bd2e
i259s0	75331586883809	21	9024	9024	3679	1269	2409	53d6698894d79b6d37cfd2d3df7d519a
i259s0	75469025837281	23	9024	9024	3638	1587	2050	eb5331ba1673f2929822e95f917b0519
i259s0	75606464790753	17	9024	9024	4283	1414	2868	3df41c53893c09df15c906bcd5f6b64c
i259s0	75743903744225	22	9024	9024	4043	1332	2710	aad59c580fb06b0f615a24b6952fc2e2
i259s0	75881342697697	9	9024	9024	3965	1365	2599	531032c9cc6cc692c4eb194994dede65
i259s0	76018781651169	19	9024	9024	3294	1148	2145	1c4c5ffd4973bf18fa5aa19dcd106b26
i259s0	76156220604641	18	9024	9024	4154	1580	2574	476a7391b60a1a3bcb22e1ed2506b9d7
i259s0	76293659558112	19	9024	9024	4054	1439	2614	6a575a99f9dcfc588f613491e3c9a757
i259s0	76293659558113	21	9024	9024	3010	977	2033	70f31f8762011ad127734c588af2da3a
i259s0	76431098511585	18	9024	9024	4338	1496	2841	ea55117242628134fb4430a1fc4d6072
i259s0	76568537465057	18	9024	9024	4073	1367	2705	5d5b7ab2593213b030b2394384cb396b
i259s0	76705976418529	25	9024	9024	3534	1181	2352	097ffac29a526f075bfc4e8d038f18b4
i259s0	76843415372001	14	9024	9024	3159	1056	2102	1bea2ccdeda85a97091696e3c852e26a
i259s0	76980854325473	20	9024	9024	5569	1353	4216	6d6fd8cf107e4341a363364a5899ff26
i259s0	77118293278945	13	9024	9024	4098	1407	2691	b3bdf972eb32a7d7affbdf053de6e3c8
i259s0	77255732232417	26	9024	9024	4398	1246	3152	e0d9e68cbbd223d31774664ab8c0abe2
i259s0	77393171185888	11	9024	9024	7589	2404	5184	8a08135d790615157429a78484fe74b2
i259s0	77393171185889	15	9024	9024	3417	1293	2123	fc737823149c15ced12df07e267aea23
i259s0	77530610139361	12	9024	9024	3711	1257	2452	9407f79ce8247a1e4c9f6b2c46bd6823
i259s0	77668049092833	13	9024	9024	3153	1020	2133	f5774087a2e66465170e3cb643b4dbc7
i259s0	77805488046305	14	9024	9024	4086	1363	2723	9d19b84b7d1fdbfa52cef56335f37e28
i259s0	77942926999777	12	9024	9024	4886	1501	3385	007817692415e8773ca5aadd98d4af49
i259s0	78080365953249	27	9024	9024	4605	1794	2810	0889f5369b080f5a8c69639c7256c011
i259s0	78217804906721	13	9024	9024	2902	945	1957	4ac215c768ec02d1c947cabb1e85488a
i259s0	78355243860193	15	9024	9024	5814	2338	3475	66609913888cce593fee2dfedc614f4f
i259s0	78492682813664	24	9024	9024	7534	2392	5141	0bd8003d2f43a84c29a8b2fe748ae827
i259s0	78492682813665	17	9024	9024	4208	1396	2811	68aef382d7275fc12de1b1b851e362ad
i259s0	78630121767137	20	9024	9024	5322	2259	3062	3384981c96c42fc9dfa1948d1e63e71a
i259s0	78767560720609	25	9024	9024	3391	1095	2296	5f10efb1bc15b054ea197b7bce338a75
i259s0	78904999674081	18	9024	9024	3747	1336	2411	ba18623e6663bb284e463c3cdf0f1fc7
i259s0	79042438627553	21	9024	9024	2949	1003	1946	4e8817d4a70f80ce8bf823ddaec56164
i259s0	79179877581025	15	9024	9024	4195	1409	2785	aa79d5d521ed47e4a839e08cecf96bb5
i259s0	79317316534497	16	9024	9024	4168	1492	2675	b9f27535c0a9190d4ce2bb7a8cd5119e
i259s0	79454755487969	16	9024	9024	3566	1217	2348	926ccdd0bccb159fa13c2fc57e514d0c
i259s0	79592194441440	21	9024	9024	4173	1353	2819	79a47ef130aaa512a0924102a0356f4c
i259s0	79592194441441	12	9024	9024	2914	970	1943	9881ae3d593b98650bb577929a1925dd
i259s0	79729633394913	19	9024	9024	4207	1371	2836	1ca12f1f64b7785c231dfc57e537d100
i259s0	79867072348385	27	9024	9024	5651	1404	4247	f076bf1cff27a36a5589cea50aa40cea
i259s0	80004511301857	21	9024	9024	3635	1305	2329	7669a7ff910063d81ea10259bc48bea3
i259s0	80141950255329	13	9024	9024	3512	1361	2150	f09080c8717fb1a66f35bffd9e95ada4
i259s0	80279389208801	16	9024	9024	4222	1186	3035	534ed762a84d0b16615aa0f915eaa9a4
i259s0	80416828162273	14	9024	9024	2885	958	1927	16205ff028c7f603a02d73fc03cc1041
i259s0	80554267115745	20	9024	9024	4140	1357	2782	c2ebbcaf7ae0f26c68fd6cd0c2f51336
i259s0	80691706069216	14	9024	9024	7527	2318	5209	a60d17f3ced14e59cdc70c65cd1d8d42
i259s0	80691706069217	15	9024	9024	3992	1433	2558	bc519219c5fddea2dd43b4d75a03ad43
i259s0	80829145022689	13	9024	9024	3411	1188	2223	db970f302ae231de8e09cfe5737acdcb
i259s0	80966583976161	17	9024	9024	2876	909	1967	8130103c907d38ffebe60ab3740b8ab9
i259s0	81104022929633	15	9024	9024	4162	1254	2907	107079d75e155ca5fc2c909795d4b292
i259s0	81241461883105	21	9024	9024	4708	1985	2723	05718ec6932931878d55fc2378c37827
i259s0	81378900836577	20	9024	9024	3612	1202	2410	dc7288b500e66583aa1d94321eeb2eba
i259s0	81516339790049	20	9024	9024	2855	981	1874	49099156dbde57d5aa83f73276098fdc
i259s0	81653778743521	22	9024	9024	4259	1260	2998	446ca847df2b8c385d47f9ab4f870d06
i259s0	81791217696992	28	9024	9024	4047	1470	2576	63309c9b4cd62d19456f9f3655b9bd29
i259s0	81791217696993	15	9024	9024	2826	920	1906	44c94ae2eb4c67a151e37e1ec01e6167
i259s0	81928656650465	12	9024	9024	4190	1514	2676	77758f13eb0343fa6ddb415d21785da5
i259s0	82066095603937	17	9024	9024	4214	1418	2796	14faacffe0684ee32d4e6c8606b88b37
i259s0	82203534557409	21	9024	9024	3494	1179	2315	1436b42fd95f77758fbb4c4452a9a6d5
i259s0	82340973510881	20	9024	9024	2887	1036	1851	caecfc6a782c194af353f25b9e8487e0
i259s0	82478412464353	20	9024	9024	4640	1473	3167	c9d5d12a597c0a14a9d35139dd002150
i259s0	82615851417825	14	9024	9024	3998	1357	2641	239888a76a015c5008ae4b74c09e5ed4
i259s0	82753290371297	22	9024	9024	4799	1224	3575	483f23a5dd401914844778adb90a2418
i259s0	82890729324768	20	9024	9024	4220	1587	2633	1d41b31496bc4f11b11a4181361e645b
i259s0	82890729324769	14	9024	9024	2889	1005	1883	704b966681775d9a5630649084d32b1d
i259s0	83028168278241	17	9024	9024	3768	1387	2380	daf03aca9589ffcabce0acc08069c075
i259s0	83165607231713	17	9024	9024	2921	1073	1847	d1fb7c91a2dedd0c01b1ef546bb37793
i259s0	83303046185185	10	9024	9024	4208	1424	2784	b5ca31a2f6c085d14e6dd077e2a3590c
i259s0	83440485138657	21	9024	9024	3907	1324	2583	f3efdd8c5854ab5044bda6db4488e412
i259s0	83577924092129	11	9024	9024	3339	1102	2237	b2669e972791808021ececae9dd61329
i259s0	83715363045601	20	9024	9024	2859	946	1913	44fbed294a112da2f0d75249a42eb122
i259s0	83852801999073	22	9024	9024	3870	1544	2325	f49fb44ac89d5d4c3113a163cdeec00c
i259s0	83990240952544	13	9024	9024	4063	1493	2570	1e1c9c3f1b9453762960762fff04b091
i259s0	83990240952545	15	9024	9024	4769	1434	3334	03fbfb820564f8d193185d5716db70b5
i259s0	84127679906017	8	9024	9024	4247	2017	2229	e5750b2f5fe8e7dc5496a0e6a2537baa
i259s0	84265118859489	17	9024	9024	2778	970	1808	a118c8cb867c7a861d1c53a7942bf1bb
i259s0	84402557812961	28	9024	9024	3569	1195	2374	2355566f0f55911f8b6fdda3bdb8d916
i259s0	84539996766433	11	9024	9024	2864	935	1928	c820c7b39588253b902b4b656277ffdf
i259s0	84677435719905	12	9024	9024	4207	1503	2703	1b43e6264a8c4dfb420f8c0189c17b77
i259s0	84814874673377	11	9024	9024	4814	1440	3374	11b40e5d6c986ed33933982f754f22c8
i259s0	84952313626849	18	9024	9024	3248	1137	2111	bc001d0e8569f9b28b05ee848be8a615
i259s0	85089752580320	18	9024	9024	7708	2603	5104	e31f83919529e6a01e523ee3ab778d4c
i259s0	85089752580321	14	9024	9024	2813	927	1885	f3142a29b6392830425ef13b919a0701
i259s0	85227191533793	16	9024	9024	3703	1283	2419	29f329828b5ffb95a6a637d7f8f3ddc5
i259s0	85364630487265	11	9024	9024	6723	1711	5012	74bd2ae8dce40c69d6af7d1c68eea671
i259s0	85502069440737	9	9024	9024	3459	1207	2252	b0c01653d3a405bdb45c5199700f5214
